==========================================================================================
TABLAS COMPARATIVAS PARA: output_2.txt
==========================================================================================

Tabla 1. n(t): Runge-Kutta vs SciPy/Numpy
-----------------------------------------
   t                                Runge-Kutta                 Metodo propio / referencia      APE (%)
  14          17702501484.581389094252176802944          17702501484.581389093652949487045   3.3850e-18
  16          44173543018.879936782210312158666          44173543018.879936782700943483493   1.1107e-18
  18           214201033069.9987238837395673688          214201033069.99872396101116297552   3.6074e-17
  20          3008180437997.9538242758295401843          3008180437997.9538478831972093057   7.8477e-16


Tabla 6. C(t): Runge-Kutta vs metodo propio con SciPy/Numpy, tiempos pares
--------------------------------------------------------------------------
   t                                Runge-Kutta                 Metodo propio / referencia      APE (%)
   0                           12500000000000.0                           12500000000000.0          0.0
   2          12501457469462.631328164792901219                           12501457478198.8      6.99e-8
   4          12507107948408.487890684717338247                          12507107960395.95      9.58e-8
   6          12518561451951.518898193636816244                          12518561469312.23      1.39e-7
   8          12538454624458.772239019174899426                          12538454651555.64      2.16e-7
  10          12571641642258.784508980364924683                          12571641689405.17      3.75e-7
  12          12628381007432.822091901672191441                          12628381104293.18      7.67e-7
  14          12735310200812.511116924165362911                          12735310460879.26      2.04e-6
  16          12988016763920.771236946034722297                          12988017850889.75      8.37e-6
  18          13965225171470.032346861133911484                          13965234334355.68      6.56e-5
  20          23584059583078.053469815535571984                          23584264581688.02      8.69e-4


